YORF,Half-life Time Course 1,Half-life Time Course 2,Half-life Time Course 3,Final Half-life
YBR126C,18.322974528670336,-142.1323834571816,34.84462407382175,-29.654928284896503
YDR074W,33.378881475929134,-19.006918167308843,-102.68470058257802,-29.43757909131924
YML100W,,-591.4490891314073,30.03578611566576,-280.70665150787073
YNL172W,5.625471096895809,4.565038770498354,8.854300164156044,6.348270010516735
YLR127C,,10.622351571712246,5.527588333054538,8.074969952383391
YKL022C,25.23089039609579,-104.8340310583158,19.33630214972533,-20.08894617083156
YML102W,,9.427596423908373,6.105931655295582,7.766764039601977
YBR195C,7.6004595049572705,7.770980433243079,8.843975300210534,8.071805079470295
YHR135C,8.565998393129863,7.625677791362798,7.777379338848519,7.98968517444706
YOR039W,7.710475772003795,5.695337688566806,6.4567331808998025,6.620848880490134
YJL014W,7.6219341963020035,8.641982186456318,7.18254130701834,7.815485896592221
YDR188W,9.828770536760556,6.966549854959796,5.7825815280092865,7.525967306576547
YBL039C,,7.901183731017863,8.182212285550879,8.04169800828437
YPL256C,7.518915635191845,3.4037677182834125,2.674069473738549,4.532250942404602
YPR119W,8.03156807377555,3.060519844490941,2.803258052560986,4.631781990275825
YPR120C,8.100297434156582,1.918287368462346,4.010059412395703,4.676214738338211
YDL127W,8.68026625217483,3.227085416286861,12.161195801302393,8.022849156588029
YOL001W,24.17857091789664,-49.791186302268976,6.596349813709088,-6.338755190221083
YNL153C,6.3425477866583675,7.716107957680417,5.16151616173309,6.406723968690625
YGR078C,11.902011052104372,5.54465255569725,4.273542983235606,7.240068863679075
YOR370C,,7.062689284181274,8.442566276203193,7.752627780192233
YGR143W,,5.426937681424215,2.637511105804075,4.032224393614145
YNL021W,8.764939870878512,12.23635909080737,2.53905503321379,7.846784664966557
YMR263W,9.303326557560844,3.9501413262891423,5.009463977575604,6.08764395380853
YBR254C,,,1.8858329190357217,1.8858329190357217
YOR115C,,6.565638268827004,9.387749828929891,7.976694048878448
YDR108W,12.892170398611633,6.449721904763675,3.3761639673542674,7.572685423576524
YOR045W,,6.573214858798077,9.107420608258206,7.840317733528142
YMR080C,,5.499518621252732,6.695196461463651,6.097357541358192
YKL068W,,4.229370958830006,5.481476630646704,4.855423794738355
YER107C,,,7.615493497470874,7.615493497470874
YDR224C,6.499008268033442,5.695421066969965,7.278046516971265,6.4908252839915574
YBR010W,7.125663289390871,5.4469789772707795,4.769541444798209,5.780727903819954
YNL030W,7.405050093398339,5.412419973783127,5.057089566787734,5.9581865446563995
YDR225W,,6.507397860604446,5.837090402677017,6.172244131640731
