YORF,Half-life Time Course 1,Half-life Time Course 2,Half-life Time Course 3,Final Half-life
YMR261C,22.635922048640623,179.05617967169331,63.941385532521394,88.54449575095178
YDR118W,,116.43940604814628,12.362833374569195,64.40111971135774
YOR303W,52.548888770138355,50.00685795920786,68.16380527436945,56.906517334571895
YGR088W,169.44937043344234,,,169.44937043344234
YLR166C,17.242946758488237,98.49277759816952,29.70438470830999,48.480036354989245
YPR055W,90.16230207535092,49.76496851997412,56.81703665987688,65.58143575173398
YPL262W,38.741054670106635,115.58390156081536,64.54100987584864,72.95532203559021
YJL031C,93.9512740670026,,12.179015584355122,53.06514482567887
YDR019C,37.79883049752636,127.30074286150236,13.959279896874962,59.68628441863456
YAL038W,35.924554894179295,398.3587325594259,,217.1416437268026
YOR347C,,-81.72423127121044,119156.50942992372,59537.39259932626
YDR052C,59.153666957276016,,,59.153666957276016
YLL041C,27.064056886118664,88.32426211077392,58.33469983520379,57.90767294403213
YPR191W,39.88070765697723,73.37869875942924,43.64658265389961,52.30199635676869
YGR183C,,34.93448023721388,108.01056731189944,71.47252377455666
Q0105,,,77.5831275759924,77.5831275759924
Q0275,,,74.13451163255148,74.13451163255148
Q0045,,187.86598424283983,43.90885772784381,115.88742098534183
Q0130,38.679628212550135,112.26597974180994,44.58010722091276,65.17523839175762
YGR180C,58.37596569734207,84.6673965214821,42.97680731214014,62.00672317698811
YOR334W,68.9490902653682,-82.51085652183365,1045.5616444335826,343.9999593923724
YGL093W,64.4598123443664,1049.4631910076532,,556.9615016760098
Q0140,89.04692682644868,,189.89596140799017,139.47144411721942
YGR059W,23.119689306568063,16.2283303946639,139.48539998851254,59.611139896581506
YLL050C,36.946041549903526,33.57704492409688,132.3440934953912,67.62239332313054
YDR129C,34.95540573988112,66.59401632352046,74.66377255193595,58.73773153844584
YMR092C,84.93117508093438,103.61396835914256,49.30746067317062,79.28420137108252
YMR109W,30.27830551801586,96.87430231587894,20.16956576798448,49.10739120062643
YHR023W,30.78493953548847,441.8147984599026,19.25696530314327,163.9522344328448
YBL078C,,277.3742223104856,49.64290354767916,163.5085629290824
YDR424C,113.0922190666651,13.037981952827524,33.0432189345543,53.057806651348976
YJR045C,39.594550902398275,63.20442880546654,39.82101562602713,47.53999844463065
YOL004W,37.7140529808867,139.6487995289872,33.717152847159525,70.36000178567781
YBL037W,65.50390856617113,81.64311375316663,175.98889096308167,107.7119710941398
YPL085W,75.25306436229215,51.39787288803401,28.04250307944903,51.564480109925064
YOR069W,17.612533030584927,20.610022019021898,126.46089743554415,54.894484161717
YOR132W,34.309240270750635,76.49355221274611,37.958714879867685,49.58716912112149
YJL041W,42.0668852532055,342.9394159027915,16.689345719565704,133.8985489585209
YER094C,,,64.35000886211682,64.35000886211682
YIL075C,16.249665529599053,197.2984037440252,55.18805737833765,89.5787088839873
YHR118C,46.13270199483121,,418.0082596884698,232.07048084165052
YIL139C,,,201.5089408619808,201.5089408619808
YCR014C,21.081037453942372,292.91791005942054,11.505324680707256,108.50142406469006
YDR301W,21.333592590171634,103.46030456283763,22.77488346976328,49.189593540924186
YBR167C,28.711939965120756,35.89598856526476,119.85807782769012,61.488668786025215
YDR364C,35.460675568130476,200.92013300351917,2.124727856556942,79.50184547606887
YCR018C,45.56620975349356,103.7671988650642,29.93595251181244,59.7564537101234
YDL132W,32.25126322843925,191.7592825294271,18.90096783083577,80.97050452956739
YLR439W,41.08154608400476,16.560552064818406,104.2300331089256,53.95737708591626
YKL142W,81.44719741108409,82.35294794299139,53.15797486253463,72.3193734055367
YFR049W,20.55983219161365,109.8370618730524,36.47245731844216,55.62311712770275
YMR201C,44.416083304592256,14.93698485004025,646.5950225391729,235.31603023126848
YER095W,,18.152615987031968,87.59448672398013,52.873551355506045
YNL250W,14.05545540542973,120.54795304207062,8.956167291001817,47.853191912834056
YOL090W,27.876679689392542,145.67675174726864,29.85818576825844,67.80387240163988
YIR017C,529.578422771745,,3.054372670241663,266.31639772099334
YOR290C,29.10557341067616,91.85031894921408,21.860686304548857,47.6055262214797
YAR010C,16.091738129658868,86.576727796298,49.00691123498257,50.55845905364648
YML039W,40.47150739136461,208.5849494510988,32.59900672395084,93.88515452213808
YMR050C,39.967767778540214,183.4526501810623,38.95608060007891,87.45883285322714
YER138C,49.39112143252524,79.17225520567202,21.036531902568715,49.866636180255334
YML013C-A,33.96131369040706,127.20778648200267,21.96830431387317,61.04580149542764
YER160C,52.06527922706405,94.87017394769916,27.22073394533789,58.05206237336703
YBL005W-A,,133.8487336135984,50.92548925807703,92.38711143583772
YLR134W,54.27768132315682,288.82577776373233,,171.55172954344457
YLL024C,,63.073737490413194,42.295815980573366,52.68477673549328
YLR109W,,83.500124579562,47.904134617362,65.702129598462
YBR196C,38.60087961960015,93.03246446109358,53.754694094046855,61.79601272491353
YLL039C,18.393322312122777,81.86310890120173,101.19022034214512,67.14888385182321
YLR150W,46.97399150075096,54.88654507743873,,50.93026828909485
YBR011C,44.41401792672403,341.1004613041642,45.76867156467078,143.76105026518636
YDR077W,54.138154868975334,372.2823103627382,,213.21023261585677
YNL055C,19.33400608486793,80.64163141105728,45.22999191089029,48.4018764689385
YNL135C,36.05039112419139,77.8253876888024,35.56738829603142,49.81438903634174
YPR149W,53.08602927739719,252.06658907572617,31.853437206258135,112.33535185312716
YHR064C,34.10293346649954,101.74155621690788,36.82709731267216,57.55719566535985
YGR209C,15.361555384653022,67.4933031327525,59.03786955908543,47.29757602549699
YLR259C,41.311778083827846,425.27078944403326,11.5676263229654,159.3833979502755
YMR251W,-31.87586365037204,386.17150823014344,86.71896734513963,147.004870641637
YDR380W,,,56.26623292128645,56.26623292128645
YML078W,35.1336319629726,56.423856039987825,53.56759960693629,48.37502920329891
YHL035C,31.30086708917431,96.70457512967825,41.94974605082806,56.65172942322687
YLR087C,,59.60687306262054,,59.60687306262054
YPL154C,36.81069091141001,84.33750286203123,44.740778548256074,55.29632410723245
YHR049W,,35.631773499929466,73.15770746069455,54.39474048031201
YDR366C,39.19371825712765,142.9567897815128,22.345898697117786,68.1654689119194
YLR216C,34.41080586131027,,136.16352823481785,85.28716704806406
YNR068C,31.905385156271905,80.8754651276216,66.3117386211155,59.697529635003
YBR054W,18.55726867482972,131.4086709904609,21.784941754817844,57.25029380670282
YMR031W-A,27.911741020636143,115.54251448127955,13.288818175300774,52.24769122573883
YBL047C,24.84958441015051,113.46577757370244,30.30747612861444,56.20761270415579
YNL208W,41.39674358802931,61.706093569147185,60.65128630744952,54.584707821542
YKL086W,45.420706587333775,1163.9861056025986,36.00045102335081,415.1357544044277
YOR010C,27.333929331937764,,131.9240609245423,79.62899512824002
YLR269C,,,56.46220189905033,56.46220189905033
YMR316C-A,18.432634711690568,420.7474687187279,36.526086180761425,158.5687298703933
YAL066W,,,82.05373825385546,82.05373825385546
YIR037W,33.8146758054758,85.68322478909732,37.808539287162255,52.435479960578455
YDR032C,96.0595875693768,107.93753195827816,56.836286543328235,86.94446869032772
YHR095W,11.325823925648978,,223.24602831054148,117.28592611809523
YKL210W,42.47421326121871,113.17022634294187,42.987608409459014,66.21068267120654
YGR284C,27.269343122574007,105.9610005418664,49.86347873364443,61.03127413269495
YFL010W-A,,71.38185522457636,26.050428539723143,48.71614188214975
YFL013W-A,22.542574236988887,67.10382519263482,130.27535471644512,73.30725138202294
YDR063W,46.57938745501603,91.21404719033652,,68.89671732267627
YJL120W,35.733086409965345,142.68277725121212,8.346417549994841,62.25409373705744
YPL135W,55.19599101736923,61.96282325207216,54.92114287253504,57.35998571399214
YOR027W,61.85412683155904,,,61.85412683155904
YMR226C,40.55532904954444,86.21039482896299,43.50098316835557,56.755569015621
YDR416W,1796.7933469412455,6.554745785410164,8.781316049632407,604.0431362587627
YGL026C,43.10834357307395,98.54454903019128,121.36623020086095,87.67304093470874
YDR513W,51.629170435646415,109.37631903456052,36.14016786010965,65.71521911010552
YMR169C,31.529174461599528,124.25550394899896,70.98306732624158,75.58924857894668
YMR280C,13.58984086698594,195.69186496391717,35.33950820956917,81.54040468015744
YGL207W,158.48433643755098,92.75170126613848,25.943049090887335,92.3930289315256
YGL215W,98.02051557608588,402.35689062199185,28.57877747471238,176.31872789093003
YEL005C,,76.42331968964892,23.943078279393216,50.18319898452107
YLR072W,14.256996135181444,178.0382738514968,55.33982628476509,82.54503209048112
YBR017C,155.47956135369424,32.66308075113894,26.033995199979568,71.39221243493758
YAL064W,153.35630455851376,13.33019239360505,,83.3432484760594
YGR218W,38.67472556405238,233.22726160631447,14.551494591434215,95.48449392060036
YER004W,40.010563338200626,80.44617241803606,23.225903431094647,47.894213062443775
YEL030W,,759.4178823839533,47.284345426782245,403.35111390536775
YNL239W,48.138543038901275,60.489828059106,41.347969195526,49.99211343117776
YOL037C,27.951367196503274,173.5791097236122,,100.76523846005772
YDR070C,25.507965498033528,70.82066269276125,113.18834979105822,69.83899266061766
YMR173W-A,29.470214681405093,121.98410666497948,131.38180083218936,94.27870739285798
YPR146C,18.828670672326275,67.2227538915705,55.89877301631139,47.316732526736054
YAL004W,40.509172452665034,86.85419771735941,16.8467693756148,48.07004651521308
YPL121C,,52.62303884554987,149.66560144780328,101.14432014667658
YGR137W,29.51417061213824,102.6608111439708,87.45885703248612,73.2112795961984
YOR345C,33.8036908496005,168.79253661408788,24.711955938642756,75.7693944674437
YFL026W,23.85638882851535,191.77064571983053,75.0346923076642,96.8872422853367
YHR053C,26.179627668958183,105.16279316969162,60.00990680793227,63.78410921552736
YHR055C,25.607787244852464,97.62036974684789,50.63200189985809,57.95338629718614
YER007W,0.0280743881473631,317.06689545370546,6.2520473206526805,107.78233905416852
YPR046W,99.88184238936684,34.31496707957856,29.510123217092534,54.568977562012655
YDR503C,33.46973618799365,194.8969611903283,13.126350385774648,80.49768258803222
YJR103W,,89.22623406005984,24.97647648985349,57.10135527495666
YNR001C,,110.41791660710012,24.15815628093393,67.28803644401702
YBR047W,0.0850501975032485,,226.57155160923935,113.32830090337131
YDL118W,11.5757869588022,141.94037473951076,17.758146338973173,57.09143601242872
YFL010C,31.289214462902073,97.0940334406836,32.347120319401384,53.57678940766235
YKR051W,28.276301891888636,97.88180083362698,20.29937574683589,48.81915949078384
YNL156C,45.42265412816551,63.581219237650586,65.6639324189577,58.22260192825794
YNR047W,148.1123354809082,11.489555370712154,5.486732657811972,55.02954116981078
YOL119C,357.91323641354757,75.9411237687248,23.944255463250652,152.59953854850767
YMR068W,80.13970175053464,110.43187860830535,30.087904215485676,73.55316152477522
YNL173C,20.084820444413612,-172.41586865803302,818.6320585431482,222.1003367765096
YAR003W,27.968381217541292,131.07771273666717,59.441069981499304,72.82905464523593
YGL238W,51.312587038754025,62.5461773992324,40.371495529259946,51.410086655748785
YDR101C,13.784496111752151,296.6968911673317,7.558051745349805,106.0131463414779
Q0110,53.56311346025569,23.299786290142453,127.082422777014,67.98177417580405
YAL037W,300.4924207164292,-20.622377265486413,40.62121870509741,106.83042071868006
YML117W-A,31.43658861626499,139.1986464078795,113.17180983980074,94.60234828798174
YOR166C,388.81175119818806,4.778319706176751,29.388142049266516,140.99273765121043
YNR057C,41.60301850162861,166.8286426415834,33.49475492426779,80.64213868915994
YBR183W,54.069827168660105,26.252193914048966,76.51085803021678,52.27762637097529
YGR111W,26.30320009038232,62.722483702473625,53.66759520962418,47.56442633416004
YEL062W,47.67526140539921,9.079612150736912,122.54086690294916,59.765246819695086
YKL150W,45.22075141147032,176.6892910235196,70.58510340236072,97.49838194578354
YML003W,85.25363553969109,127.5849986846264,32.90596318184717,81.91486580205489
YLR179C,38.310743723974554,75.1452009143891,35.691392613052244,49.715779083805295
YMR103C,107.33175237731164,-26.994992154862725,94.11191888519082,58.149559702546576
YNL155W,31.7111641743902,147.26535535894232,20.9630027597124,66.64650743101497
YDL229W,30.783581018756458,72.62077279874447,41.65251969511368,48.35229117087153
YOL106W,46.32626867870004,103.78175312749642,57.52514851354934,69.2110567732486
YPL009C,35.33321424153321,79.33369644904528,59.82488966547305,58.16393345201718
YEL006W,30.902759279943364,195.3496818102848,45.84830207612753,90.70024772211856
YAR050W,,30.678425126344848,66.25671302831273,48.46756907732879
YDL038C,34.31993371274092,81.42725688292302,27.24180012679984,47.66299690748792
YLR309C,37.269468618223875,101.37191383272835,26.613417993957498,55.084933481636575
YMR090W,,,100.99841635855496,100.99841635855496
YOL029C,23.22779896338153,79.71678785423137,48.79251080982615,50.57903254247969
YMR010W,14.706394311706664,149.915576636668,89.39139038628575,84.67112044488681
YLR303W,50.64492907043972,93.72517099088334,57.574309458791625,67.31480317337156
YJR120W,65.93784007111539,99.56598903836284,47.183732216368526,70.89585377528225
YMR045C,43.53507952226765,138.13808686246443,40.90875882865408,74.19397507112872
YOR052C,56.20915582761298,,47.00092719264366,51.60504151012832
YGL167C,,77.27480016198018,20.36778537264489,48.821292767312535
YKL157W,36.419812662619826,111.2408674241724,36.234572428917616,61.298417505236614
YHR136C,114.55646320922162,,72.75269315366614,93.65457818144388
YLR133W,36.15617918735577,124.0036455950631,34.16582268153994,64.7752158213196
YPL058C,25.267242653139665,192.18440817851717,,108.7258254158284
YAL058C-A,42.41968002675779,-34.86830606481329,375.28012743699225,127.61050046631225
YPL153C,49.73041643973741,153.3570581225172,18.763129382565932,73.95020131494017
